Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],Time (CET/CEST),Day-ahead Total Load Forecast [MW] - BZN|AL,Actual Total Load [MW] - BZN|AL
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 14:15 - 06.07.2023 14:30,908,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 14:30 - 06.07.2023 14:45,908,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 14:45 - 06.07.2023 15:00,908,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 15:00 - 06.07.2023 15:15,887,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 15:15 - 06.07.2023 15:30,887,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 15:30 - 06.07.2023 15:45,887,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 15:45 - 06.07.2023 16:00,887,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 16:00 - 06.07.2023 16:15,875,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 16:15 - 06.07.2023 16:30,875,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 16:30 - 06.07.2023 16:45,875,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 16:45 - 06.07.2023 17:00,875,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 17:00 - 06.07.2023 17:15,899,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 17:15 - 06.07.2023 17:30,899,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 17:30 - 06.07.2023 17:45,899,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 17:45 - 06.07.2023 18:00,899,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 18:00 - 06.07.2023 18:15,918,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 18:15 - 06.07.2023 18:30,918,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 18:30 - 06.07.2023 18:45,918,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 18:45 - 06.07.2023 19:00,918,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 19:00 - 06.07.2023 19:15,926,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 19:15 - 06.07.2023 19:30,926,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 19:30 - 06.07.2023 19:45,926,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 19:45 - 06.07.2023 20:00,926,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 20:00 - 06.07.2023 20:15,958,
,,,,,,,,,,,,,,,,,,,,,,,06.07.2023 20:15 - 06.07.2023 20:30,958,
